,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,60,50,False,False,,,,,,,
1,1,60,53,False,False,,,,,,,
2,2,60,47,False,False,,,,,,,
3,3,60,51,False,False,,,,,,,
4,4,60,50,False,False,,,,,,,
5,0,60,50,True,False,0.6183549017591577,3605.32058095932,504.68649101257324,139645.0,1886.7849608491567,,
6,1,60,53,True,False,,,,,,,
7,2,60,47,True,False,,,,,,,
8,3,60,51,True,False,0.051089953972663055,3605.0225160121918,554.5389790534973,58297.0,711.159329088009,,
9,4,60,50,True,False,0.0017973201486381873,3604.8141469955444,555.0973482131958,113748.0,633.9918329813956,,
10,0,60,101,False,True,0.21272396328199658,3645.7721960544586,8592.306859970093,34364.0,1023.6138089737249,,
11,1,60,106,False,True,0.2102045958834801,3655.34494805336,10665.8166949749,33321.0,1026.2685780258146,,
12,2,60,94,False,True,0.14221060718924755,3638.6918189525604,6490.788464784622,45350.0,963.6950096802238,,
13,3,60,102,False,True,0.159068165417955,3647.841809988022,9042.326800823212,44820.0,976.1866052716376,,
14,4,60,101,False,True,0.0010694302876999445,3645.985948085785,8651.990057945251,37415.0,781.0257029562357,,
15,0,60,101,True,True,0.042976402166250184,3601.9930560588837,2185.2324850559235,6413.0,881.3347014716044,,
16,1,60,106,True,True,0.07505801264403375,3601.958287000656,2483.7646791934967,4936.0,908.9751419090745,,
17,2,60,94,True,True,0.45839977150365374,3614.8862359523773,1802.4589121341705,9332.0,1578.862693466802,,
18,3,60,102,True,True,0.053880849237901964,3618.4832150936127,2234.2302191257477,16984.0,902.5850914733995,,
19,4,60,101,True,True,0.010344849373832413,3602.7250440120697,2190.636076927185,7692.0,800.7511195638178,,
20,0,65,54,False,False,,,,,,,
21,1,65,50,False,False,,,,,,,
22,2,65,56,False,False,,,,,,,
23,3,65,52,False,False,,,,,,,
24,4,65,52,False,False,,,,,,,
25,0,65,54,True,False,0.1940095812970152,3606.4191670417786,722.0327229499817,87633.0,915.003207516825,,
26,1,65,50,True,False,0.5140103114202575,3605.2900898456573,620.1076300144196,66866.0,1315.6651938217078,,
27,2,65,56,True,False,,,,,,,
28,3,65,52,True,False,,,,,,,
29,4,65,52,True,False,,,,,,,
30,0,65,109,False,True,0.16868423868909088,3666.1431720256805,12353.557165145874,36958.0,1039.536351837316,,
31,1,65,101,False,True,0.14894374878104047,3650.089286804199,9240.41887307167,36598.0,926.9471669241933,,
32,2,65,112,False,True,0.07841615315049923,3609.608790874481,13813.976241827011,26891.0,948.5882334413825,,
33,3,65,104,False,True,0.21159758325595202,3655.9326989650726,10492.481871128082,45504.0,1053.5425389799748,,
34,4,65,104,False,True,0.05451445084726661,3652.727863073349,10352.64253282547,27737.0,958.6831644033573,,
35,0,65,109,True,True,0.25550735075099584,3621.5148520469666,3090.1897139549255,6273.0,1201.5723403480574,,
36,1,65,101,True,True,0.0059726918027347,3618.4802770614624,2480.8037440776825,9125.0,820.4776885722272,,
37,2,65,112,True,True,0.015156684609919407,3622.5198578834534,3300.51447725296,3681.0,902.5054270980162,,
38,3,65,104,True,True,0.12109832354171565,3619.75759100914,2665.1414561271667,7804.0,979.4058345979569,,
39,4,65,104,True,True,0.44414375426834235,3619.637261867523,2680.734363079071,6527.0,1665.913412213033,,
