,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,70,53,False,False,,,,,,,
1,1,70,64,False,False,,,,,,,
2,2,70,53,False,False,,,,,,,
3,3,70,58,False,False,,,,,,,
4,4,70,60,False,False,,,,,,,
5,0,70,53,True,False,0.15560426776519104,3606.09658908844,780.0928339958191,105842.0,851.51724026729,,
6,1,70,64,True,False,0.19561344486047155,3601.19291806221,1209.284126996994,16046.0,964.4102109951386,,
7,2,70,53,True,False,0.011978115761903245,3600.739665031433,707.59042096138,28271.0,743.9016747010099,,
8,3,70,58,True,False,,,,,,,
9,4,70,60,True,False,,,,,,,
10,0,70,106,False,True,0.26177340986654696,3665.6194620132446,11659.507152795792,33938.0,1208.735812697861,,
11,1,70,129,False,True,0.44522076781021874,3709.8148679733276,26392.892940044403,29266.0,1685.303142879411,,
12,2,70,106,False,True,0.2406304041726112,3605.905292034149,11752.69611787796,29669.0,1247.5219206359943,,
13,3,70,117,False,True,0.32080349551465237,3611.0195190906525,17689.6272418499,20684.0,1222.9672633757232,,
14,4,70,120,False,True,0.17542075581134514,3682.2567110061646,19336.683526992798,31668.0,1082.9126067099762,,
15,0,70,106,True,True,0.5804161462107164,3618.1728777885437,3164.5695610046387,10699.0,2281.861858942554,,
16,1,70,129,True,True,0.003393670195637224,3633.491167783737,5396.220091104507,8981.0,967.5953758711896,,
17,2,70,106,True,True,0.08127749714500607,3602.6302938461304,3156.386679172516,7088.0,1043.9377763111297,,
18,3,70,117,True,True,0.4752419674798928,3625.6865589618683,4086.9820008277893,6447.0,1665.5364980723054,,
19,4,70,120,True,True,0.39845565272598416,3602.7843101024628,4465.852583885193,3031.0,1576.8226873399835,,
