,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,0.25,14,24,True,False,1.3541231200742692e-06,353.0849530696869,23.551610469818115,21384.0,38.625465246078406,,
1,0,0.5,14,24,True,False,0.1692221892984767,3600.273381948471,23.78290557861328,92630.0,34.77747074358893,,
2,0,1.0,14,24,True,False,,,,,,,
3,1,0.25,14,27,True,False,2.196873556190401e-06,282.0513348579407,28.78852844238281,12541.0,50.53903058684205,,
4,1,0.5,14,27,True,False,0.08685076727670325,3600.334706068039,29.574817180633545,42295.0,46.552173570375054,,
5,1,0.5,14,27,True,False,0.0861369951229071,3600.3608050346375,29.326555967330933,43260.0,46.54119482647039,,
6,1,1.0,14,27,True,False,0.5005163601061753,3600.344846010208,31.7949378490448,64966.0,48.238461387264294,,
7,2,0.25,14,25,True,False,4.157304105489167e-05,325.13013100624084,22.851924657821655,10716.0,41.56216298934614,,
8,2,0.5,14,25,True,False,0.1273102635564526,3600.1881330013275,23.49834966659546,82794.0,38.028911652172226,,
9,2,1.0,14,25,True,False,0.5910051449961444,3600.2900819778442,26.223435401916504,70196.0,36.83704750772094,,
10,3,0.25,14,25,True,False,5.956994828967382e-06,97.68407797813416,23.49643325805664,3501.0,40.760006028744456,,
11,3,0.5,14,25,True,False,0.08417617294705725,3600.226644039154,24.033257484436035,50872.0,37.905122951374416,,
12,3,1.0,14,25,True,False,,,,,,,
13,4,0.25,14,24,True,False,2.5961828140143258e-08,567.0957560539246,22.48544216156006,35445.0,51.31645860475284,,
14,4,0.5,14,24,True,False,0.10679253337803932,3600.1995639801025,23.59064292907715,83979.0,48.06455485210161,,
15,4,1.0,14,24,True,False,,,,,,,
16,5,0.25,14,22,True,False,7.063995544661524e-05,248.65686011314392,18.918614387512207,13810.0,41.401243688511215,,
17,5,0.5,14,22,True,False,0.11678754942630457,3600.306487083435,19.703831434249878,52876.0,38.1381131762727,,
18,5,1.0,14,22,True,False,0.8860979049292715,3600.1637620925903,22.463944911956787,100243.0,126.80538638462572,,
19,6,0.25,14,25,True,False,2.4985318338233957e-06,226.83791995048523,25.120611906051636,10107.0,44.485455341012894,,
20,6,0.5,14,25,True,False,0.10172288849295863,3600.193855047226,25.761484146118164,118046.0,39.88729834495682,,
21,6,1.0,14,25,True,False,,,,,,,
22,7,0.25,14,26,True,False,5.3289405118203074e-05,220.84075903892517,26.846040964126587,9739.0,50.80279411321747,,
