,Instance,Radii,n_N,n_B,A4,edge_removing,variable_fixing,bigM_estimation,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,0.5,10,14,False,True,False,False,0.4239910594128556,3600.0758440494537,5.555135726928711,247566.0,42.94135511663526,,
1,0,0.5,10,14,False,False,True,False,0.8760642207048146,3600.0803830623627,6.505991220474243,1940033.0,39.75343924370926,,
2,0,0.5,10,14,False,False,False,True,0.1483626775126637,3600.071943998337,7.366868495941162,159895.0,35.96389919285109,,
3,1,0.5,10,23,False,True,False,False,,,,,,,
4,1,0.5,10,23,False,False,True,False,0.18843754813066776,3600.243332862854,19.66943883895874,202589.0,36.02831439068427,,
5,1,0.5,10,23,False,False,False,True,,,,,,,
6,2,0.5,10,19,False,True,False,False,0.6578803858233636,3600.107820034027,8.946302652359009,320967.0,33.34587519811204,,
7,2,0.5,10,19,False,False,True,False,2.7483083729494633e-06,347.92217111587524,12.409811019897461,35309.0,24.29951908266041,,
8,2,0.5,10,19,False,False,False,True,0.053968467102598866,3600.171592950821,13.640448808670044,135256.0,30.834091940616105,,
9,3,0.5,10,16,False,True,False,False,0.34524664657947685,3600.1250219345093,7.079362154006958,200109.0,45.59986654996503,,
10,3,0.5,10,16,False,False,True,False,0.8323634770542506,3600.0938498973846,8.42072057723999,1766237.0,37.06395747189325,,
11,3,0.5,10,16,False,False,False,True,0.0017623268300474549,3600.101738214493,9.65164852142334,126829.0,37.25218223753468,,
12,4,0.5,10,22,False,True,False,False,0.0,406.46571803092957,13.347501754760742,6807.0,41.98415699552286,,
13,4,0.5,10,22,False,False,True,False,0.18663417384826952,3600.8922941684723,17.813693284988403,125210.0,45.086793758698214,,
14,4,0.5,10,22,False,False,False,True,1.2659348556804626e-06,346.21193504333496,19.836352586746216,16713.0,46.20020513706567,,
15,5,0.5,10,21,False,True,False,False,0.9550546201339309,3600.1158578395844,11.640583276748657,965989.0,55.00662172164272,,
16,5,0.5,10,21,False,False,True,False,0.8975448175570262,3600.2119710445404,15.90071415901184,814094.0,36.56075623691457,,
17,5,0.5,10,21,False,False,False,True,0.027950836876206968,3600.2503850460052,17.95125150680542,134128.0,35.885564286616756,,
18,6,0.5,10,14,False,True,False,False,0.30456781567922053,3600.081438064575,5.213345766067505,337326.0,34.27567271652316,,
19,6,0.5,10,14,False,False,True,False,0.06998519952069217,3603.5712678432465,6.250140190124512,255521.0,32.13728632635036,,
20,6,0.5,10,14,False,False,False,True,0.0826377445579149,3600.076979160309,7.245859384536743,216944.0,35.52373446201125,,
21,7,0.5,10,20,False,True,False,False,0.0,212.87738418579102,11.20993447303772,3977.0,35.34416269938839,,
22,7,0.5,10,20,False,False,True,False,0.0,50.61862897872925,14.259033918380737,3219.0,32.9068665411937,,
23,7,0.5,10,20,False,False,False,True,2.0682770480338236e-09,226.8227150440216,15.820521354675293,14268.0,40.14599326790224,,
24,8,0.5,10,18,False,True,False,False,0.9847385824906898,3600.090749025345,8.786824703216553,1144724.0,49.949173629989076,,
25,8,0.5,10,18,False,False,True,False,0.057632356024079096,3601.630473136902,10.895978689193726,277892.0,30.371121660881265,,
26,8,0.5,10,18,False,False,False,True,0.09371984056651997,3600.174565076828,12.296456098556519,90385.0,37.41451322321933,,
27,9,0.5,10,13,False,True,False,False,0.5030063553162407,3600.463082075119,4.575498104095459,405905.0,30.001809531392354,,
28,9,0.5,10,13,False,False,True,False,0.9999989073400237,3600.0687329769135,5.5820934772491455,747537.0,54.360913169726025,,
29,9,0.5,10,13,False,False,False,True,0.3204863219023755,3600.078843832016,6.458146572113037,292815.0,26.80607375517402,,
