,Instance,Radii,n_N,n_B,A4,edge_removing,variable_fixing,bigM_estimation,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,0.5,10,14,False,False,False,False,0.3248533600328631,3600.0887730121613,6.494107484817505,278707.0,37.22631013267959,,
1,1,0.5,10,23,False,False,False,False,,,,,,,
2,2,0.5,10,19,False,False,False,False,0.11071718480759134,3600.1537289619446,12.290992498397827,144712.0,29.643105270787228,,
3,3,0.5,10,16,False,False,False,False,0.33969679656422364,3600.1059589385986,8.48099398612976,263100.0,42.586985531480366,,
4,4,0.5,10,22,False,False,False,False,0.09294399573233217,3606.7239961624146,18.031203508377075,113190.0,47.641354501654504,,
5,5,0.5,10,21,False,False,False,False,0.6092659128845792,3600.207153081894,15.988782405853271,311920.0,47.09844521963538,,
6,6,0.5,10,14,False,False,False,False,0.6713114520346108,3600.0976049900055,6.381105422973633,524960.0,39.492610540221634,,
7,7,0.5,10,20,False,False,False,False,0.07564580270103927,3608.866137981415,14.646011352539062,147370.0,36.99431726525338,,
8,8,0.5,10,18,False,False,False,False,0.24227799253772875,3600.142910003662,10.824075937271118,196643.0,38.6598536072749,,
9,9,0.5,10,13,False,False,False,False,0.5686423139045483,3600.1480469703674,5.5084028244018555,553572.0,31.055591296726973,,
